epoch,train_accuracy,val_accuracy,train_loss,val_loss
7,0.9155,0.8958,0.2122,0.1945
8,0.9169,0.8989,0.2089,0.1927
9,0.9186,0.8978,0.2057,0.1951
10,0.9200,0.8994,0.2034,0.1918
1,0.7561,0.8202,0.3800,0.3223
2,0.8115,0.8251,0.3317,0.3031
3,0.8133,0.8200,0.3246,0.3126
4,0.8161,0.8198,0.3167,0.3050
5,0.8217,0.8290,0.3119,0.2988
6,0.8285,0.8320,0.3042,0.2942
7,0.8303,0.8461,0.3007,0.2839
8,0.8363,0.8462,0.2952,0.2813
9,0.8374,0.8518,0.2939,0.2740
10,0.8452,0.8432,0.2910,0.2841
1,0.8034,0.8239,0.3690,0.2989
2,0.8299,0.8407,0.3210,0.2735
3,0.8402,0.8530,0.3085,0.2703
4,0.8469,0.8668,0.2985,0.2622
5,0.8522,0.8662,0.2924,0.2653
6,0.8574,0.8679,0.2870,0.2646
7,0.8580,0.8537,0.2797,0.2799
8,0.8631,0.8708,0.2786,0.2673
9,0.8656,0.8698,0.2755,0.2737
10,0.8681,0.8642,0.2714,0.2782
1,0.8520,0.8289,0.4156,0.3203
2,0.8247,0.8120,0.3359,0.3173
3,0.8157,0.8054,0.3243,0.3096
4,0.8108,0.8089,0.3179,0.2968
5,0.8078,0.8002,0.3114,0.2989
6,0.8086,0.8068,0.3076,0.3010
7,0.8160,0.8236,0.3016,0.2942
8,0.8196,0.8215,0.2971,0.2942
9,0.8224,0.8252,0.2945,0.2839
10,0.8280,0.8366,0.2894,0.2838
1,0.8406,0.8159,0.4032,0.2885
2,0.8072,0.8020,0.3339,0.2796
3,0.8060,0.8104,0.3220,0.2832
4,0.8023,0.8182,0.3182,0.2724
5,0.8109,0.8145,0.3110,0.2759
6,0.8159,0.8294,0.3082,0.2804
7,0.8191,0.8166,0.3019,0.2906
8,0.8222,0.8259,0.2976,0.2822
9,0.8263,0.8342,0.2952,0.2660
10,0.8321,0.8324,0.2901,0.2726
1,0.8493,0.8658,0.4127,0.2542
2,0.8195,0.8576,0.3377,0.2485
3,0.8121,0.8465,0.3281,0.2551
4,0.8106,0.8500,0.3189,0.2435
5,0.8098,0.8452,0.3152,0.2291
6,0.8136,0.8303,0.3079,0.2474
7,0.8191,0.8344,0.3037,0.2380
8,0.8212,0.8314,0.3009,0.2429
9,0.8287,0.8499,0.2962,0.2337
10,0.8356,0.8346,0.2931,0.2473
1,0.8381,0.7858,0.6351,1.1973
2,0.8420,0.8784,0.6297,1.1044
3,0.8487,0.8579,0.6312,1.1250
4,0.8282,0.8580,0.6305,1.1248
5,0.8369,0.7762,0.6327,1.2066
6,0.8365,0.7436,0.6316,1.2393
7,0.8819,0.9334,0.6431,1.0495
8,0.8894,0.8600,0.6477,1.1229
9,0.8586,0.9013,0.6331,1.0816
